"Gilt Name","Close of Business Date","ISIN","Type","Coupon","Maturity","Clean Price","Dirty Price","Yield","Mod Duration","Accrued Interest"
"UKS  03/28","17/11/2023","GB0032728395","Strips","N/A","07/03/2028","84.181511","84.181511","4.048026","4.211463","N/A"
"UKS  06/28","17/11/2023","GB0002443819","Strips","N/A","07/06/2028","83.416260","83.416260","4.028353","4.456683","N/A"
"UKS  09/28","17/11/2023","GB0032728403","Strips","N/A","07/09/2028","82.652257","82.652257","4.011768","4.702379","N/A"
"UKS  12/28","17/11/2023","GB0002443926","Strips","N/A","07/12/2028","81.891302","81.891302","3.998212","4.947541","N/A"
"UKR  12/28","17/11/2023","GB0002444007","Strips","N/A","07/12/2028","81.891302","81.891302","3.998212","4.947541","N/A"
"UKS  03/29","17/11/2023","GB0032728510","Strips","N/A","07/03/2029","81.129131","81.129131","3.987499","5.193165","N/A"
"UKS  06/29","17/11/2023","GB0009140046","Strips","N/A","07/06/2029","80.367857","80.367857","3.979540","5.438240","N/A"
"UKS  09/29","17/11/2023","GB0032728627","Strips","N/A","07/09/2029","79.603527","79.603527","3.974168","5.683762","N/A"
"UKS  12/29","17/11/2023","GB0009140269","Strips","N/A","07/12/2029","78.838571","78.838571","3.971269","5.928725","N/A"
"UKS  03/30","17/11/2023","GB0032728734","Strips","N/A","07/03/2030","78.069316","78.069316","3.970691","6.174126","N/A"
"UKS  06/30","17/11/2023","GB0009140483","Strips","N/A","07/06/2030","77.298496","77.298496","3.972298","6.418958","N/A"
"UKS  09/30","17/11/2023","GB0032728841","Strips","N/A","07/09/2030","76.522684","76.522684","3.975957","6.664220","N/A"
"UKS  12/30","17/11/2023","GB0009140939","Strips","N/A","07/12/2030","75.744899","75.744899","3.981512","6.908909","N/A"
"UKR  12/30","17/11/2023","GB00B29WTS18","Strips","N/A","07/12/2030","75.744899","75.744899","3.981512","6.908909","N/A"
"UKS  03/31","17/11/2023","GB0032728957","Strips","N/A","07/03/2031","74.961936","74.961936","3.988844","7.154022","N/A"
"UKS  06/31","17/11/2023","GB0009141010","Strips","N/A","07/06/2031","74.177070","74.177070","3.997785","7.398559","N/A"
"UKS  09/31","17/11/2023","GB0032729039","Strips","N/A","07/09/2031","73.387277","73.387277","4.008231","7.643518","N/A"
"UKS  12/31","17/11/2023","GB0009141671","Strips","N/A","07/12/2031","72.596049","72.596049","4.020005","7.887901","N/A"
"UKS  03/32","17/11/2023","GB0032729146","Strips","N/A","07/03/2032","71.800502","71.800502","4.033020","8.132706","N/A"
"UKR  06/32","17/11/2023","GB0009139048","Strips","N/A","07/06/2032","71.004295","71.004295","4.047095","8.376937","N/A"
"UKS  06/32","17/11/2023","GB0009141895","Strips","N/A","07/06/2032","71.004295","71.004295","4.047095","8.376937","N/A"
"UKS  09/32","17/11/2023","GB0032729252","Strips","N/A","07/09/2032","70.204652","70.204652","4.062159","8.621592","N/A"
"UKS  12/32","17/11/2023","GB00B0125K93","Strips","N/A","07/12/2032","69.405355","69.405355","4.078031","8.865676","N/A"
"UKS  03/33","17/11/2023","GB0032729369","Strips","N/A","07/03/2033","68.603695","68.603695","4.094658","9.110188","N/A"
"UKS  06/33","17/11/2023","GB00B0125L01","Strips","N/A","07/06/2033","67.803530","67.803530","4.111860","9.354134","N/A"
"UKS  09/33","17/11/2023","GB0032729476","Strips","N/A","07/09/2033","67.002193","67.002193","4.129603","9.598513","N/A"
"UKS  12/33","17/11/2023","GB00B0125M18","Strips","N/A","07/12/2033","66.203567","66.203567","4.147713","9.842332","N/A"
"UKS  03/34","17/11/2023","GB0032729583","Strips","N/A","07/03/2034","65.405001","65.405001","4.166172","10.086591","N/A"
"UKS  06/34","17/11/2023","GB00B0125P49","Strips","N/A","07/06/2034","64.610359","64.610359","4.184816","10.330296","N/A"
"UKS  09/34","17/11/2023","GB0032729690","Strips","N/A","07/09/2034","63.816991","63.816991","4.203640","10.574447","N/A"
"UKR  09/34","17/11/2023","GB00B4JYZV64","Strips","N/A","07/09/2034","63.816991","63.816991","4.203640","10.574447","N/A"
"UKS  12/34","17/11/2023","GB00B0126284","Strips","N/A","07/12/2034","63.028713","63.028713","4.222492","10.818052","N/A"
"UKS  03/35","17/11/2023","GB0032729708","Strips","N/A","07/03/2035","62.242868","62.242868","4.241379","11.062110","N/A"
"UKS  06/35","17/11/2023","GB00B0126K68","Strips","N/A","07/06/2035","61.463201","61.463201","4.260161","11.305629","N/A"
"UKS  09/35","17/11/2023","GB0032729815","Strips","N/A","07/09/2035","60.687046","60.687046","4.278853","11.549608","N/A"
